Company,Industry,Funding_Amount_USD,Investor,Year,City,Standard_Industry
Razorpay,Transportation,119000000,Matrix Partners,2017,Noida,Logistics & Mobility
CRED,Insurance,21000000,Tiger Global,2023,Gurgaon,FinTech
Flipkart,E-commerce,292000000,Info Edge,2010,Delhi,E-Commerce & Retail
Zepto,Insurance,234000000,Y Combinator,2017,Chennai,FinTech
Cars24,EdTech,221000000,Lightspeed India,2015,Bangalore,EdTech
Dream11,EdTech,57000000,SoftBank,2020,Delhi,EdTech
BYJU's,Logistics,140000000,Tiger Global,2021,Hyderabad,Logistics & Mobility
Paytm,Insurance,45000000,General Atlantic,2022,Gurgaon,FinTech
Dunzo,EdTech,40000000,Falcon Edge,2016,Hyderabad,EdTech
Paytm,Retail,124000000,Info Edge,2012,Noida,E-Commerce & Retail
OYO Rooms,Logistics,88000000,Naspers,2021,Pune,Logistics & Mobility
CarDekho,Hospitality,92000000,Info Edge,2012,Noida,Travel & Hospitality
CureFit,Insurance,199000000,Info Edge,2024,Mumbai,FinTech
PhonePe,Retail,33000000,Matrix Partners,2020,Delhi,E-Commerce & Retail
UrbanClap,Transportation,142000000,Lightspeed India,2022,Hyderabad,Logistics & Mobility
Swiggy,FoodTech,260000000,Bessemer Venture,2016,Hyderabad,FoodTech & AgriTech
Snapdeal,Retail,76000000,General Atlantic,2018,Mumbai,E-Commerce & Retail
Delhivery,Insurance,209000000,Steadview Capital,2023,Noida,FinTech
CarDekho,FoodTech,29000000,SoftBank,2012,Pune,FoodTech & AgriTech
Razorpay,Fintech,37000000,Y Combinator,2023,Mumbai,FinTech
Lenskart,Logistics,288000000,WestBridge Capital,2018,Pune,Logistics & Mobility
Ola Cabs,Retail,179000000,Matrix Partners,2018,Gurgaon,E-Commerce & Retail
Razorpay,EdTech,6000000,Accel,2024,Mumbai,EdTech
Freshworks,Gaming,157000000,Lightspeed India,2013,Mumbai,Media & Entertainment
Navi,Healthcare,87000000,Info Edge,2021,Mumbai,HealthTech & BioTech
CureFit,Services,255000000,Bessemer Venture,2020,Bangalore,SaaS & Enterprise
