Company,Industry,Funding_Amount_USD,Investor,Year,City,Standard_Industry,Total_Funding_USD,Avg_Funding_USD,Funding_Rounds,First_Funding_Year,Latest_Funding_Year,Month,Quarter,Startup_Age_2026,GDP_Growth,Inflation,FDI_Inflow,Sector_Funding_YoY_Growth
Razorpay,Transportation,119000000,Matrix Partners,2017,Noida,Logistics & Mobility,552000000,92000000.0,6,2012,2024,9,3,14,6.8,3.33,44.8,-0.45555555555555555
CRED,Insurance,21000000,Tiger Global,2023,Gurgaon,FinTech,328000000,82000000.0,4,2013,2023,5,2,13,7.6,5.7,41.0,0.1751412429378531
Flipkart,E-commerce,292000000,Info Edge,2010,Delhi,E-Commerce & Retail,643000000,214333333.33333334,3,2010,2019,9,3,16,7.0,4.5,45.0,0.0
Zepto,Insurance,234000000,Y Combinator,2017,Chennai,FinTech,1078000000,179666666.66666666,6,2013,2025,6,2,13,6.8,3.33,44.8,1.0889679715302492
Cars24,EdTech,221000000,Lightspeed India,2015,Bangalore,EdTech,882000000,176400000.0,5,2014,2023,7,3,12,7.0,4.5,45.0,2.215686274509804
Dream11,EdTech,57000000,SoftBank,2020,Delhi,EdTech,481000000,96200000.0,5,2012,2020,8,3,14,-5.83,6.62,64.9,-0.9001751313485113
BYJU's,Logistics,140000000,Tiger Global,2021,Hyderabad,Logistics & Mobility,1245000000,177857142.85714287,7,2012,2021,7,3,14,9.05,5.13,59.6,5.208955223880597
Paytm,Insurance,45000000,General Atlantic,2022,Gurgaon,FinTech,909000000,181800000.0,5,2012,2025,6,2,14,7.24,6.7,46.0,0.5458515283842795
Dunzo,EdTech,40000000,Falcon Edge,2016,Hyderabad,EdTech,975000000,195000000.0,5,2016,2023,6,2,10,8.26,4.9,43.4,-0.8780487804878049
Paytm,Retail,124000000,Info Edge,2012,Noida,E-Commerce & Retail,909000000,181800000.0,5,2012,2025,6,2,14,7.0,4.5,45.0,-0.8551401869158879
OYO Rooms,Logistics,88000000,Naspers,2021,Pune,Logistics & Mobility,422000000,140666666.66666666,3,2012,2022,10,4,14,9.05,5.13,59.6,5.208955223880597
CarDekho,Hospitality,92000000,Info Edge,2012,Noida,Travel & Hospitality,717000000,119500000.0,6,2010,2025,9,3,16,7.0,4.5,45.0,-0.8599695585996956
CureFit,Insurance,199000000,Info Edge,2024,Mumbai,FinTech,1529000000,169888888.8888889,9,2011,2025,8,3,15,8.2,4.8,45.0,-0.16105769230769232
PhonePe,Retail,33000000,Matrix Partners,2020,Delhi,E-Commerce & Retail,970000000,138571428.57142857,7,2014,2024,8,3,12,-5.83,6.62,64.9,-0.8230647709320695
UrbanClap,Transportation,142000000,Lightspeed India,2022,Hyderabad,Logistics & Mobility,1044000000,174000000.0,6,2011,2022,10,4,15,7.24,6.7,46.0,-0.07451923076923077
Swiggy,FoodTech,260000000,Bessemer Venture,2016,Hyderabad,FoodTech & AgriTech,1169000000,167000000.0,7,2010,2020,7,3,16,8.26,4.9,43.4,0.4857142857142857
Snapdeal,Retail,76000000,General Atlantic,2018,Mumbai,E-Commerce & Retail,602000000,120400000.0,5,2010,2018,9,3,16,6.45,3.94,42.1,0.74364896073903
Delhivery,Insurance,209000000,Steadview Capital,2023,Noida,FinTech,1119000000,124333333.33333333,9,2013,2024,10,4,13,7.6,5.7,41.0,0.1751412429378531
CarDekho,FoodTech,29000000,SoftBank,2012,Pune,FoodTech & AgriTech,717000000,119500000.0,6,2010,2025,9,3,16,7.0,4.5,45.0,0.0
Razorpay,Fintech,37000000,Y Combinator,2023,Mumbai,FinTech,552000000,92000000.0,6,2012,2024,9,3,14,7.6,5.7,41.0,0.1751412429378531
Lenskart,Logistics,288000000,WestBridge Capital,2018,Pune,Logistics & Mobility,288000000,288000000.0,1,2018,2018,9,3,8,6.45,3.94,42.1,0.6071428571428571
Ola Cabs,Retail,179000000,Matrix Partners,2018,Gurgaon,E-Commerce & Retail,915000000,152500000.0,6,2013,2025,9,3,13,6.45,3.94,42.1,0.74364896073903
Razorpay,EdTech,6000000,Accel,2024,Mumbai,EdTech,552000000,92000000.0,6,2012,2024,9,3,14,8.2,4.8,45.0,0.09467455621301775
Freshworks,Gaming,157000000,Lightspeed India,2013,Mumbai,Media & Entertainment,1530000000,139090909.0909091,11,2010,2023,11,4,16,7.0,4.5,45.0,-0.6198547215496368
Navi,Healthcare,87000000,Info Edge,2021,Mumbai,HealthTech & BioTech,579000000,144750000.0,4,2012,2025,5,2,14,9.05,5.13,59.6,3.5789473684210527
CureFit,Services,255000000,Bessemer Venture,2020,Bangalore,SaaS & Enterprise,1529000000,169888888.8888889,9,2011,2025,8,3,15,-5.83,6.62,64.9,0.30313588850174217
Flipkart,E-commerce,127000000,Bessemer Venture,2019,Hyderabad,E-Commerce & Retail,643000000,214333333.33333334,3,2010,2019,9,3,16,3.87,3.73,50.6,-0.16158940397350993
Zomato,FoodTech,253000000,Bessemer Venture,2012,Gurgaon,FoodTech & AgriTech,658000000,219333333.33333334,3,2011,2022,7,3,15,7.0,4.5,45.0,0.0
Swiggy,Services,248000000,Steadview Capital,2014,Mumbai,SaaS & Enterprise,1169000000,167000000.0,7,2010,2020,7,3,16,7.0,4.5,45.0,0.48868778280542985
Dunzo,Fintech,281000000,Naspers,2016,Chennai,FinTech,975000000,195000000.0,5,2016,2023,6,2,10,8.26,4.9,43.4,0.7134146341463414
Zepto,Insurance,229000000,Naspers,2021,Chennai,FinTech,1078000000,179666666.66666666,6,2013,2025,6,2,13,9.05,5.13,59.6,0.7615384615384615
Tata 1mg,SaaS,37000000,Tiger Global,2017,Delhi,SaaS & Enterprise,37000000,37000000.0,1,2017,2017,9,3,9,6.8,3.33,44.8,-0.40189873417721517
Dream11,Transportation,8000000,WestBridge Capital,2017,Delhi,Logistics & Mobility,481000000,96200000.0,5,2012,2020,8,3,14,6.8,3.33,44.8,-0.45555555555555555
Swiggy,Insurance,39000000,Y Combinator,2017,Bangalore,FinTech,1169000000,167000000.0,7,2010,2020,7,3,16,6.8,3.33,44.8,1.0889679715302492
Paytm,Hospitality,253000000,Tiger Global,2018,Delhi,Travel & Hospitality,909000000,181800000.0,5,2012,2025,6,2,14,6.45,3.94,42.1,0.5
PhysicsWallah,Gaming,247000000,SoftBank,2017,Pune,Media & Entertainment,496000000,248000000.0,2,2017,2022,2,1,9,6.8,3.33,44.8,10.923076923076923
