Year,State,Industry,Count,Last Update,Standard_Industry,Region,GDP_Growth,Inflation,FDI_Inflow,Sector_Registration_YoY_Growth
2024,Assam,Advertising,1,2026-04-30 19:30:11.799,Media & Entertainment,Northeast,8.2,4.8,45.0,-0.12152777777777778
2024,Assam,Architecture Interior Design,1,2026-04-30 19:30:12.220,Real Estate & Construction,Northeast,8.2,4.8,45.0,0.07716289945440374
2024,Assam,Automotive,3,2026-04-30 19:30:13.040,Logistics & Mobility,Northeast,8.2,4.8,45.0,-0.1146384479717813
2024,Assam,Chemicals,3,2026-04-30 19:30:14.246,Industrial & Chemicals,Northeast,8.2,4.8,45.0,-0.02826086956521739
2024,Assam,Telecommunication & Networking,2,2026-04-30 19:30:15.007,SaaS & Enterprise,Northeast,8.2,4.8,45.0,-0.19741100323624594
2024,Assam,Construction,59,2026-04-30 19:30:15.305,Real Estate & Construction,Northeast,8.2,4.8,45.0,0.07716289945440374
2024,Assam,Agriculture,41,2026-04-30 19:30:15.733,FoodTech & AgriTech,Northeast,8.2,4.8,45.0,-0.05033112582781457
2024,Assam,Aeronautics Aerospace & Defence,1,2026-04-30 19:30:16.278,DeepTech & Aerospace,Northeast,8.2,4.8,45.0,-0.09219858156028368
2024,Assam,AI,9,2026-04-30 19:30:16.643,AI & DeepTech,Northeast,8.2,4.8,45.0,0.6635658914728683
2024,Assam,Green Technology,10,2026-04-30 19:30:17.067,CleanTech & Green Energy,Northeast,8.2,4.8,45.0,-0.08651026392961877
2024,Assam,Fashion,5,2026-04-30 19:30:17.859,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Finance Technology,8,2026-04-30 19:30:18.278,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Food & Beverages,15,2026-04-30 19:30:19.068,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Design,6,2026-04-30 19:30:19.431,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Education,16,2026-04-30 19:30:20.283,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Renewable Energy,6,2026-04-30 19:30:20.701,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Technology Hardware,8,2026-04-30 19:30:21.065,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Healthcare & Lifesciences,35,2026-04-30 19:30:21.373,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Internet of Things,1,2026-04-30 19:30:21.739,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,IT Services,24,2026-04-30 19:30:22.175,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Human Resources,2,2026-04-30 19:30:22.502,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Marketing,6,2026-04-30 19:30:22.915,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Non- Renewable Energy,3,2026-04-30 19:30:23.699,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Pets & Animals,1,2026-04-30 19:30:24.132,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Media & Entertainment,11,2026-04-30 19:30:24.526,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Retail,6,2026-04-30 19:30:24.953,E-Commerce & Retail,Northeast,8.2,4.8,45.0,-0.07407407407407407
2024,Assam,House-Hold Services,6,2026-04-30 19:30:25.342,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Professional & Commercial Services,13,2026-04-30 19:30:25.694,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Sports,1,2026-04-30 19:30:26.128,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Social Impact,3,2026-04-30 19:30:26.500,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Social Network,1,2026-04-30 19:30:26.836,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Textiles & Apparel,7,2026-04-30 19:30:27.215,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Indic Language Startups,1,2026-04-30 19:30:27.519,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Transportation & Storage,7,2026-04-30 19:30:27.872,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Logistics,2,2026-04-30 19:30:28.314,Logistics & Mobility,Northeast,8.2,4.8,45.0,-0.1146384479717813
2024,Assam,Travel & Tourism,12,2026-04-30 19:30:28.699,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Security Solutions,3,2026-04-30 19:30:29.115,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Real Estate,1,2026-04-30 19:30:29.861,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Other Specialty Retailers,1,2026-04-30 19:30:30.297,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Safety,1,2026-04-30 19:30:30.664,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Waste Management,3,2026-04-30 19:30:32.342,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Assam,Toys and Games,2,2026-04-30 19:30:33.099,Others,Northeast,8.2,4.8,45.0,-0.026412267907123428
2024,Chandigarh,Analytics,1,2026-04-30 19:30:33.464,Others,North,8.2,4.8,45.0,-0.026412267907123428
2024,Chandigarh,AR VR (Augmented + Virtual Reality),1,2026-04-30 19:30:34.392,Others,North,8.2,4.8,45.0,-0.026412267907123428
